Z_ion,Z_target,E_proj[keV/u],Cross_section[cm2],Uncertainty[%],is_exp,Theory_ID,DOI
1,2,5.000e+01,7.940e-17,25,1,Exp_1976Rudd_RuddJorgensen,https://doi.org/10.1016/0092-640X(76)90012-7
1,2,1.000e+02,9.200e-17,25,1,Exp_1976Rudd_RuddJorgensen,https://doi.org/10.1016/0092-640X(76)90012-7
1,2,1.500e+02,8.040e-17,25,1,Exp_1976Rudd_RuddJorgensen,https://doi.org/10.1016/0092-640X(76)90012-7
1,2,1.000e+02,1.200e-16,25,1,Exp_1976Rudd_RuddSautterBailey,https://doi.org/10.1016/0092-640X(76)90012-7
1,2,2.000e+02,8.950e-17,25,1,Exp_1976Rudd_RuddSautterBailey,https://doi.org/10.1016/0092-640X(76)90012-7
1,2,3.000e+02,7.140e-17,25,1,Exp_1976Rudd_RuddSautterBailey,https://doi.org/10.1016/0092-640X(76)90012-7
1,2,3.000e+02,5.290e-17,25,1,Exp_1976Rudd_Toburen,https://doi.org/10.1016/0092-640X(76)90012-7
1,2,1.000e+03,1.940e-17,25,1,Exp_1976Rudd_Toburen,https://doi.org/10.1016/0092-640X(76)90012-7
1,2,1.500e+03,1.660e-17,25,1,Exp_1976Rudd_Toburen,https://doi.org/10.1016/0092-640X(76)90012-7
1,2,3.000e+02,7.160e-17,25,1,Exp_1976Rudd_Stolterfoht,https://doi.org/10.1016/0092-640X(76)90012-7
1,2,5.000e+02,4.460e-17,25,1,Exp_1976Rudd_Stolterfoht,https://doi.org/10.1016/0092-640X(76)90012-7
1,2,4.200e+03,7.210e-18,25,1,Exp_1976Rudd_Stolterfoht,https://doi.org/10.1016/0092-640X(76)90012-7
1,2,5.000e+03,5.810e-18,25,1,Exp_1976Rudd_Stolterfoht,https://doi.org/10.1016/0092-640X(76)90012-7
1,1,2.548e+01,1.301e-16,30,1,Exp_1977Park,https://doi.org/10.1103/PhysRevA.15.508
1,1,5.118e+01,2.493e-16,25,1,Exp_1977Park,https://doi.org/10.1103/PhysRevA.15.508
1,1,7.615e+01,2.317e-16,17,1,Exp_1977Park,https://doi.org/10.1103/PhysRevA.15.508
1,1,1.457e+02,1.203e-16,18,1,Exp_1977Park,https://doi.org/10.1103/PhysRevA.15.508
1,1,2.005e+02,1.005e-16,21,1,Exp_1977Park,https://doi.org/10.1103/PhysRevA.15.508
1,18,5.000e+00,9.300e-17,25,1,Exp_1979Rudd_CriswellToburen,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,1.000e+01,1.640e-16,25,1,Exp_1979Rudd_CriswellToburen,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,2.000e+01,3.370e-16,25,1,Exp_1979Rudd_CriswellToburen,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,5.000e+01,4.690e-16,25,1,Exp_1979Rudd_CriswellToburen,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,5.000e+00,1.520e-16,25,1,Exp_1979Rudd_Rudd,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,7.000e+00,1.880e-16,25,1,Exp_1979Rudd_Rudd,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,1.000e+01,2.340e-16,25,1,Exp_1979Rudd_Rudd,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,1.500e+01,3.000e-16,25,1,Exp_1979Rudd_Rudd,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,2.000e+01,3.980e-16,25,1,Exp_1979Rudd_Rudd,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,3.000e+01,4.650e-16,25,1,Exp_1979Rudd_Rudd,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,5.000e+01,5.050e-16,25,1,Exp_1979Rudd_Rudd,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,7.000e+01,5.250e-16,25,1,Exp_1979Rudd_Rudd,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,5.000e+01,5.160e-16,25,1,Exp_1979Rudd_CrooksRudd,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,1.000e+02,5.210e-16,25,1,Exp_1979Rudd_CrooksRudd,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,1.500e+02,4.600e-16,25,1,Exp_1979Rudd_CrooksRudd,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,2.000e+02,3.990e-16,25,1,Exp_1979Rudd_CrooksRudd,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,2.500e+02,3.460e-16,25,1,Exp_1979Rudd_CrooksRudd,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,3.000e+02,3.030e-16,25,1,Exp_1979Rudd_CrooksRudd,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,2.500e+02,3.180e-16,25,1,Exp_1979Rudd_Toburen,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,3.000e+02,3.080e-16,25,1,Exp_1979Rudd_Toburen,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,5.000e+02,2.200e-16,25,1,Exp_1979Rudd_Toburen,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,1.000e+03,1.240e-16,25,1,Exp_1979Rudd_Toburen,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,1.500e+03,9.900e-17,25,1,Exp_1979Rudd_Toburen,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,2.000e+03,4.120e-17,25,1,Exp_1979Rudd_Toburen,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,3.000e+03,3.490e-17,25,1,Exp_1979Rudd_Toburen,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,3.670e+03,3.060e-17,25,1,Exp_1979Rudd_Toburen,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,4.200e+03,2.090e-17,25,1,Exp_1979Rudd_Toburen,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,3.000e+02,3.480e-16,25,1,Exp_1979Rudd_GablerStoltetfohtLeithauser,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,4.000e+02,2.970e-16,25,1,Exp_1979Rudd_GablerStoltetfohtLeithauser,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,5.000e+02,2.520e-16,25,1,Exp_1979Rudd_GablerStoltetfohtLeithauser,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,4.200e+03,6.280e-17,25,1,Exp_1979Rudd_GablerStoltetfohtLeithauser,https://doi.org/10.1016/0092-640X(79)90026-3
1,18,5.000e+03,5.800e-17,25,1,Exp_1979Rudd_GablerStoltetfohtLeithauser,https://doi.org/10.1016/0092-640X(79)90026-3
2,18,7.500e+01,1.870e-15,25,1,Exp_1979Toburen,https://doi.org/10.1103/PhysRevA.19.2214
2,18,2.000e+02,1.361e-15,25,1,Exp_1979Toburen,https://doi.org/10.1103/PhysRevA.19.2214
2,18,3.000e+02,1.148e-15,25,1,Exp_1979Toburen,https://doi.org/10.1103/PhysRevA.19.2214
2,18,4.000e+02,1.055e-15,25,1,Exp_1979Toburen,https://doi.org/10.1103/PhysRevA.19.2214
2,18,5.000e+02,8.452e-16,25,1,Exp_1979Toburen,https://doi.org/10.1103/PhysRevA.19.2214
1,1,3.800e+01,1.369e-16,8,1,Exp_1981Shah,https://doi.org/10.1088/0022-3700/14/14/009
1,1,4.500e+01,1.399e-16,7,1,Exp_1981Shah,https://doi.org/10.1088/0022-3700/14/14/009
1,1,5.400e+01,1.404e-16,8,1,Exp_1981Shah,https://doi.org/10.1088/0022-3700/14/14/009
1,1,6.700e+01,1.342e-16,7,1,Exp_1981Shah,https://doi.org/10.1088/0022-3700/14/14/009
1,1,8.000e+01,1.280e-16,7,1,Exp_1981Shah,https://doi.org/10.1088/0022-3700/14/14/009
1,1,1.000e+02,1.116e-16,7,1,Exp_1981Shah,https://doi.org/10.1088/0022-3700/14/14/009
1,1,1.200e+02,1.009e-16,7,1,Exp_1981Shah,https://doi.org/10.1088/0022-3700/14/14/009
1,1,1.400e+02,8.980e-17,7,1,Exp_1981Shah,https://doi.org/10.1088/0022-3700/14/14/009
1,1,1.600e+02,8.270e-17,7,1,Exp_1981Shah,https://doi.org/10.1088/0022-3700/14/14/009
1,1,1.800e+02,7.600e-17,7,1,Exp_1981Shah,https://doi.org/10.1088/0022-3700/14/14/009
1,1,2.000e+02,7.070e-17,7,1,Exp_1981Shah,https://doi.org/10.1088/0022-3700/14/14/009
1,1,2.300e+02,6.250e-17,7,1,Exp_1981Shah,https://doi.org/10.1088/0022-3700/14/14/009
