Z_ion,Z_target,E_proj[keV/u],Theory_ID,Cross_section[cm2],is_exp,Uncertainty[%]
5,1,378.20667,CTMC,7.982283913070815e-16,0,0
5,1,495.1275,CTMC,6.406617416550308e-16,0,0
5,1,648.47766,CTMC,5.073384155874647e-16,0,0
5,1,849.3619,CTMC,3.9596818286454553e-16,0,0
5,1,1112.3691,CTMC,3.106502876393032e-16,0,0
5,1,1456.5941,CTMC,2.378017385484778e-16,0,0
5,1,1907.3517,CTMC,1.8408883556384813e-16,0,0
5,1,2498.082,CTMC,1.43739614795158e-16,0,0
6,1,14.849624,CTMC,4.55593475221724e-18,0,0
6,1,19.477272,CTMC,7.11006846881343e-18,0,0
6,1,25.482935,CTMC,1.5814951948410256e-17,0,0
6,1,33.38277,CTMC,3.9487686949990454e-17,0,0
6,1,43.72465,CTMC,1.0566978582395321e-16,0,0
6,1,57.260944,CTMC,2.926057038909964e-16,0,0
6,1,74.938065,CTMC,6.96710639538939e-16,0,0
6,1,98.13276,CTMC,1.2037692235547782e-15,0,0
6,1,128.61028,CTMC,1.5249847939970786e-15,0,0
6,1,168.35114,CTMC,1.5837903465132162e-15,0,0
6,1,220.50172,CTMC,1.4856023709574597e-15,0,0
6,1,288.7783,CTMC,1.2911024708357559e-15,0,0
6,1,378.20667,CTMC,1.0874468004707138e-15,0,0
6,1,495.1275,CTMC,8.834183572980609e-16,0,0
6,1,648.47766,CTMC,7.062379436169473e-16,0,0
6,1,849.3619,CTMC,5.601890880809326e-16,0,0
6,1,1112.3691,CTMC,4.381838783725966e-16,0,0
6,1,1456.5941,CTMC,3.391445306557512e-16,0,0
6,1,1907.3517,CTMC,2.6030481976550077e-16,0,0
6,1,2498.082,CTMC,2.0397555926894046e-16,0,0
7,1,14.849624,CTMC,4.0058576775553315e-18,0,0
7,1,19.477272,CTMC,5.5567778978657e-18,0,0
7,1,25.482935,CTMC,1.1532305522985128e-17,0,0
7,1,33.38277,CTMC,3.678001287438124e-17,0,0
7,1,43.72465,CTMC,9.564443600680495e-17,0,0
7,1,57.260944,CTMC,2.637817063810243e-16,0,0
7,1,74.938065,CTMC,6.790923458867459e-16,0,0
7,1,98.13276,CTMC,1.3110384413157241e-15,0,0
7,1,128.61028,CTMC,1.7843495604678363e-15,0,0
7,1,168.35114,CTMC,1.929059631771275e-15,0,0
7,1,220.50172,CTMC,1.8457464124524833e-15,0,0
7,1,288.7783,CTMC,1.6324162947020728e-15,0,0
7,1,378.20667,CTMC,1.3902125934909386e-15,0,0
7,1,495.1275,CTMC,1.162328917907825e-15,0,0
7,1,648.47766,CTMC,9.405546411618586e-16,0,0
7,1,849.3619,CTMC,7.468606338257387e-16,0,0
7,1,1112.3691,CTMC,5.883393670630818e-16,0,0
7,1,1456.5941,CTMC,4.575411585497719e-16,0,0
7,1,1907.3517,CTMC,3.561697723529916e-16,0,0
7,1,2498.082,CTMC,2.763862265724754e-16,0,0
8,1,14.849624,CTMC,3.3728080729397347e-18,0,0
8,1,19.477272,CTMC,4.6764476313807824e-18,0,0
8,1,25.482935,CTMC,1.1403823756854879e-17,0,0
8,1,33.38277,CTMC,2.9825494476965116e-17,0,0
8,1,43.72465,CTMC,8.90262903581258e-17,0,0
8,1,57.260944,CTMC,2.3649263565787345e-16,0,0
8,1,74.938065,CTMC,6.53861134037983e-16,0,0
8,1,98.13276,CTMC,1.3732893926787835e-15,0,0
8,1,128.61028,CTMC,2.012676662061435e-15,0,0
8,1,168.35114,CTMC,2.2689591094767677e-15,0,0
8,1,220.50172,CTMC,2.203399428287905e-15,0,0
8,1,288.7783,CTMC,1.9902120085093926e-15,0,0
