Z_ion,Z_target,E_proj[keV/u],Cross_section[cm2],Uncertainty[%],is_exp,Theory_ID,DOI
1,10,3.000e+02,1.853e-16,0,0,CDW-EIS,_
1,10,4.000e+02,1.526e-16,0,0,CDW-EIS,_
1,10,5.000e+02,1.300e-16,0,0,CDW-EIS,_
1,10,6.000e+02,1.136e-16,0,0,CDW-EIS,_
1,10,7.000e+02,1.010e-16,0,0,CDW-EIS,_
1,10,8.000e+02,9.117e-17,0,0,CDW-EIS,_
1,10,9.000e+02,8.318e-17,0,0,CDW-EIS,_
1,10,1.000e+03,7.657e-17,0,0,CDW-EIS,_
1,10,2.000e+03,4.384e-17,0,0,CDW-EIS,_
1,10,3.000e+03,3.137e-17,0,0,CDW-EIS,_
1,10,4.000e+03,2.468e-17,0,0,CDW-EIS,_
1,10,5.000e+03,2.046e-17,0,0,CDW-EIS,_
1,10,6.000e+03,1.754e-17,0,0,CDW-EIS,_
1,10,7.000e+03,1.539e-17,0,0,CDW-EIS,_
1,10,8.000e+03,1.375e-17,0,0,CDW-EIS,_
1,10,9.000e+03,1.244e-17,0,0,CDW-EIS,_
1,10,1.000e+04,1.137e-17,0,0,CDW-EIS,_
1,10,2.000e+04,6.303e-18,0,0,CDW-EIS,_
1,10,3.000e+04,4.472e-18,0,0,CDW-EIS,_
1,10,4.000e+04,3.514e-18,0,0,CDW-EIS,_
1,10,5.000e+04,2.921e-18,0,0,CDW-EIS,_
1,10,6.000e+04,2.516e-18,0,0,CDW-EIS,_
1,10,7.000e+04,2.222e-18,0,0,CDW-EIS,_
1,10,8.000e+04,1.998e-18,0,0,CDW-EIS,_
1,10,9.000e+04,1.821e-18,0,0,CDW-EIS,_
1,10,1.000e+05,1.678e-18,0,0,CDW-EIS,_
1,18,1.000e+01,4.746e-17,0,0,CDW-EIS,_
1,18,2.000e+01,3.527e-16,0,0,CDW-EIS,_
1,18,3.000e+01,6.419e-16,0,0,CDW-EIS,_
1,18,4.000e+01,7.929e-16,0,0,CDW-EIS,_
1,18,5.000e+01,8.477e-16,0,0,CDW-EIS,_
1,18,6.000e+01,8.521e-16,0,0,CDW-EIS,_
1,18,7.000e+01,8.300e-16,0,0,CDW-EIS,_
1,18,8.000e+01,7.952e-16,0,0,CDW-EIS,_
1,18,9.000e+01,7.573e-16,0,0,CDW-EIS,_
1,18,1.000e+02,7.182e-16,0,0,CDW-EIS,_
1,18,2.000e+02,4.464e-16,0,0,CDW-EIS,_
1,18,3.000e+02,3.202e-16,0,0,CDW-EIS,_
1,18,4.000e+02,2.506e-16,0,0,CDW-EIS,_
1,18,5.000e+02,2.065e-16,0,0,CDW-EIS,_
1,18,6.000e+02,1.761e-16,0,0,CDW-EIS,_
1,18,7.000e+02,1.537e-16,0,0,CDW-EIS,_
1,18,8.000e+02,1.366e-16,0,0,CDW-EIS,_
1,18,9.000e+02,1.231e-16,0,0,CDW-EIS,_
1,18,1.000e+03,1.120e-16,0,0,CDW-EIS,_
1,18,2.000e+03,6.009e-17,0,0,CDW-EIS,_
1,18,3.000e+03,4.160e-17,0,0,CDW-EIS,_
